"cluster" "dyntaxa_name" "gbif_name"
"10151" "Geometridae_cluster134" "Gandaritis pyraliata" "Eulithis pyraliata"
"10452" "Pieridae_cluster6" "Colias palaeno" "Colias palaeno"
"10582" "Sphingidae_cluster6" "Hemaris tityus" "Hemaris tityus"
"10891" "Geometridae_cluster142" "Perizoma hydrata" "Perizoma hydrata"
"11265" "Coleophoridae_cluster43" "Coleophora siccifolia" "Coleophora siccifolia"
"11267" "Pyralidae_cluster12" "Episcythrastis tetricella" "Myelois tetricella"
"11290" "Noctuidae_cluster134" "Apamea scolopacina" "Loscopia scolopacina"
"11495" "Noctuidae_cluster136" "Diarsia florida" "Diarsia florida"
"11844" "Pieridae_cluster7" "Colias palaeno" "Colias palaeno"
"12125" "Noctuidae_cluster140" "Hada plebeja" "Hada plebeja"
"12534" "Tortricidae_cluster205" "Argyroploce roseomaculana" "Argyroploce roseomaculana"
"12705" "Gelechiidae_cluster93" "Caryocolum proximum" "Caryocolum proxima"
"14001" "Coleophoridae_cluster49" "Coleophora albidella" "Coleophora albidella"
"14047" "Plutellidae_cluster6" "Ypsolopha sequella" "Ypsolophus sequella"
"14111" "Noctuidae_cluster151" "Photedes minima" "Photedes minima"
"14368" "Gelechiidae_cluster99" "Athrips tetrapunctellus" "Athrips tetrapunctella"
"14662" "Tortricidae_cluster225" "Pseudococcyx turionella" "Blastesthia turionella"
"15128" "Tortricidae_cluster227" "Dichrorampha sedatana" "Dichrorampha sedatana"
"15744" "Tortricidae_cluster230" "Aethes cnicana" "Aethes cnicana"
"15909" "Geometridae_cluster169" "Chloroclysta siterata" "Chloroclysta siterata"
"15946" "Gelechiidae_cluster105" "Monochroa suffusella" "Monochroa suffusella"
"16038" "Tortricidae_cluster233" "Pammene fasciana" "Pammene fasciana"
"16336" "Noctuidae_cluster158" "Acronicta tridens" "Acronicta tridens"
"17662" "Nymphalidae_cluster23" "Hipparchia semele" "Hipparchia semele"
"17861" "Nepticulidae_cluster47" "Ectoedemia arcuatella" "Ectoedemia arcuatella"
"17958" "Eriocraniidae_cluster9" "Eriocrania semipurpurella" "Eriocrania semipurpurella"
"19867" "Geometridae_cluster179" "Chlorissa viridata" "Chlorissa viridata"
"21300" "Tortricidae_cluster254" "Acleris emargana" "Acleris emargana"
"21669" "Coleophoridae_cluster59" "Coleophora laricella" "Coleophora laricella"
"22006" "Oecophoridae_cluster22" "Telechrysis tripuncta" "Schiffermuelleria tripuncta"
"22378" "Coleophoridae_cluster60" "Coleophora lutarea" "Metriotes lutarea"
"22464" "Heliozelidae_cluster6" "Perittia herrichiella" "Perittia herrichiella"
"24083" "Oecophoridae_cluster23" "Telechrysis tripuncta" "Schiffermuelleria tripuncta"
"25053" "Oecophoridae_cluster24" "Telechrysis tripuncta" "Schiffermuelleria tripuncta"
"25710" "Tortricidae_cluster269" "Cydia succedana" "Cydia succedana"
"26540" "Tortricidae_cluster272" "Argyroploce roseomaculana" "Argyroploce roseomaculana"
"26555" "Autostichidae_cluster2" "Oegoconia deauratella" "Oegoconia quadripuncta"
"26568" "Oecophoridae_cluster25" "Telechrysis tripuncta" "Schiffermuelleria tripuncta"
"26802" "Lycaenidae_cluster12" "Favonius quercus" "Quercusia quercus"
"26903" "Tortricidae_cluster274" "Argyroploce roseomaculana" "Argyroploce roseomaculana"
"27619" "Tortricidae_cluster277" "Rhyacionia duplana" "Rhyacionia duplana"
"27716" "Psychidae_cluster15" "Sterrhopterix standfussi" "Sterrhopterix standfussi"
"30106" "Coleophoridae_cluster64" "Coleophora laricella" "Coleophora laricella"
"30487" "Cosmopterigidae_cluster9" "Eteobalea anonymella" "Stagmatophora anonymella"
"31522" "Geometridae_cluster203" "Hydria undulata" "Rheumaptera undulata"
"32137" "Elachistidae_cluster75" "Leucoptera malifoliella" "Leucoptera malifoliella"
"32998" "Tortricidae_cluster293" "Eucosma hohenwartiana" "Eucosma hohenwartiana"
"33136" "Tortricidae_cluster296" "Argyroploce roseomaculana" "Argyroploce roseomaculana"
"142" "Tortricidae_cluster84" "Cochylis dubitana" "Cochylis dubitana"
"143" "Geometridae_cluster73" "Idaea deversaria" "Idaea maritimaria"
"144" "Geometridae_cluster51" "Scopula ternata" "Scopula ternata"
"145" "Geometridae_cluster92" "Eupithecia analoga" "Eupithecia analoga"
"146" "Drepanidae_cluster5" "Falcaria lacertinaria" "Falcaria lacertinaria"
"147" "Sphingidae_cluster4" "Sphinx pinastri" "Sphinx pinastri"
"148" "Noctuidae_cluster165" "Leucania dia" "Leucania insueta"
"149" "Noctuidae_cluster192" "Ceramica pisi" "Ceramica pisi"
"150" "Gracillariidae_cluster68" "Caloptilia jurateae" "Caloptilia jurateae"
"151" "Noctuidae_cluster98" "Enargia paleacea" "Enargia paleacea"
"152" "Hesperiidae_cluster4" "Pyrgus malvae" "Pyrgus malvae"
"153" "Tortricidae_cluster131" "Pammene clanculana" "Pammene clanculana"
"154" "Erebidae_cluster47" "Spilarctia lutea" "Spilarctia lutea"
"155" "Tortricidae_cluster135" "Pammene obscurana" "Pammene obscurana"
"156" "Tineidae_cluster7" "Nemapogon wolffiellus" "Nemapogon wolffiella"
"157" "Noctuidae_cluster65" "Papestra biren" "Papestra biren"
"158" "Tortricidae_cluster244" "Acleris implexana" "Acleris implexana"
"159" "Tortricidae_cluster83" "Argyrotaenia ljungiana" "Argyrotaenia ljungiana"
"160" "Momphidae_cluster13" "Mompha sexstrigella" "Mompha sexstrigella"
"161" "Tortricidae_cluster180" "Acleris effractana" "Acleris effractana"
"162" "Elachistidae_cluster24" "Elachista serricornis" "Elachista serricornis"
"163" "Tortricidae_cluster14" "Phiaris metallicana" "Olethreutes metallicana"
"164" "Pyralidae_cluster5" "Ortholepis vacciniella" "Ortholepis vacciniella"
"165" "Tortricidae_cluster9" "Phiaris bipunctana" "Argyroploce bipunctana"
"166" "Tortricidae_cluster49" "Cochylis nana" "Thyraylia nana"
"167" "Tortricidae_cluster192" "Phiaris heinrichana" "Olethreutes heinrichana"
"168" "Tortricidae_cluster266" "Cochylis atricapitana" "Cochylis atricapitana"
"169" "Crambidae_cluster2" "Crambus lathoniellus" "Crambus nemorella"
"170" "Crambidae_cluster6" "Agriphila tristella" "Agriphila tristellus"
"171" "Crambidae_cluster9" "Catoptria margaritella" "Catoptria margaritellus"
"172" "Crambidae_cluster30" "Scoparia subfusca" "Scoparia cembrella"
"173" "Crambidae_cluster40" "Platytes cerussella" "Platytes cerusella"
"174" "Geometridae_cluster140" "Euphyia unangulata" "Euphyia unangulata"
"175" "Geometridae_cluster155" "Thera obeliscata" "Thera obeliscata"
"176" "Geometridae_cluster181" "Eupithecia groenblomi" "Eupithecia groenblomi"
