"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop" "dyntaxa_match" "dyntaxa_name" "SE_occurrence"
"2647" "Nymphalidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Brenthis" "Brenthis_X" "BOLAAA9312" "Brenthis ino" 160 0.486322188449848 "Exact" "Brenthis ino" "Bofast och reproducerande"
"2784" "Tortricidae_cluster74" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Archips" "Archips_X" "BOLAAB9404" "Archips rosana" 46 0.48421052631579 "Exact" "Archips rosanus" "Bofast och reproducerande"
"2833" "Tortricidae_cluster76" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Gypsonoma" "Gypsonoma_X" "BOLAAB1285" "Unspecified*" 39 0.240740740740741 "" "" ""
"2840" "Tortricidae_cluster77" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Syricoris" "Syricoris_X" "BOLAAF2534" "Celypha rivulana" 16 0.695652173913043 "Exact" "Celypha rivulana" "Bofast och reproducerande"
"2850" "Drepanidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Drepanidae" "Watsonalla" "Watsonalla_X" "BOLAAE9886" "Watsonalla cultraria" 31 0.596153846153846 "Exact" "Watsonalla cultraria" "Bofast och reproducerande"
"2915" "Lycaenidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lycaenidae" "Vacciniina" "Vacciniina_X" "BOLAAB5172" "Agriades optilete" 234 0.932270916334661 "Exact" "Agriades optilete" "Bofast och reproducerande"
"2950" "Geometridae_cluster59" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Xanthorhoe" "Xanthorhoe_X" "BOLAAB5059" "Unspecified*" 27 0.3 "" "" ""
"3003" "Gelechiidae_cluster24" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Teleiodes" "Teleiodes_X" "BOLAAE9855" "Teleiodes vulgella" 33 0.6875 "Exact" "Teleiodes vulgellus" "Bofast och reproducerande"
"3054" "Lypusidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lypusidae" "Diurnea" "Diurnea_X" "BOLAAD9970" "Diurnea lipsiella" 20 0.689655172413793 "Exact" "Diurnea lipsiella" "Bofast och reproducerande"
"3091" "Tortricidae_cluster83" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Argyrotaenia" "Argyrotaenia_X" "BOLAAA2955" "Argyrotaenia velutinana" 172 0.462365591397849 "NoMatch" "" ""
"3119" "Noctuidae_cluster56" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Xanthia" "Xanthia_X" "BOLAAC9311" "Xanthia icteritia" 31 0.563636363636364 "Exact" "Cirrhia icteritia" "Bofast och reproducerande"
"3150" "Yponomeutidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Yponomeuta" "Yponomeuta_X" "BOLAAA7740" "Unspecified*" 95 0.292307692307692 "" "" ""
"3215" "Crambidae_cluster19" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Agriphila" "Agriphila_X" "BOLAAE6817" "Agriphila selasella" 12 0.705882352941177 "Exact" "Agriphila selasella" "Bofast och reproducerande"
"3230" "Tortricidae_cluster84" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Cochylis" "Cochylis_X" "BOLAAC3780" "Neocochylis dubitana" 50 0.892857142857143 "NoMatch" "" ""
"3386" "Tortricidae_cluster86" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Cnephasia" "Cnephasia_X" "BOLAAC7742" "Cnephasia longana" 32 0.438356164383562 "Exact" "Cnephasia longana" "Bofast och reproducerande"
"3676" "Noctuidae_cluster65" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Papestra" "Papestra_X" "BOLAAA9849" "Papestra quadrata" 53 0.490740740740741 "NoMatch" "" ""
