"IBA_species" "match_status" "taxon_id" "sci_name" "author" "synonyms" "SE_occurrence" "IBA_cluster" "IBA_resolved_species" "IBA_resolved_BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop"
"1059" "Phyllonorycter mespilella" "NoMatch" NA "" "" "" "" "Gracillariidae_cluster61" "Phyllonorycter mespilella" "BOLAAC1755" "Phyllonorycter mespilella" 44 0.916666666666667
"1064" "Phyllonorycter klemannella" "NoMatch" NA "" "" "" "" "Gracillariidae_cluster67" "Phyllonorycter klemannella" "BOLAAH8487" "Phyllonorycter klemannella" 54 1
"1076" "Phyllonorycter cerris" "NoMatch" NA "" "" "" "" "Gracillariidae_cluster84" "unresolved.Phyllonorycter" "unresolved.Phyllonorycter" "" 0 0
"1105" "Dendrolimus superans" "Exact" 6011739 "Dendrolimus superans" "(Butler, 1877)" "Odonestis superans Butler, 1877" "Ej påträffad" "Lasiocampidae_cluster4" "Dendrolimus superans" "BOLAAB6845" "Dendrolimus superans" 78 0.443181818181818
"1106" "Poecilocampa alpina" "NoMatch" NA "" "" "" "" "Lasiocampidae_cluster5" "Poecilocampa alpina" "BOLAAC8994" "Poecilocampa populi" 33 0.485294117647059
"1108" "Trichiura crataegi" "NeedsManualSelection" NA "Välj ett av 2 matchande taxa; Art: Trichiura crataegi, hagtornspinnare [201173]; Art: Trichiura crataegi (Linnaeus, 1758), hagtornsspinnare [234276]" "" "" "" "Lasiocampidae_cluster7" "Trichiura crataegi" "BOLAAB4489" "Trichiura crataegi" 53 0.854838709677419
"1111" "Taleporia politella" "NoMatch" NA "" "" "" "" "Psychidae_cluster3" "Taleporia politella" "BOLAAC2838" "Taleporia tubulosa" 46 0.807017543859649
"1124" "Spindasis takanonis" "NoMatch" NA "" "" "" "" "Lycaenidae_cluster13" "Spindasis takanonis" "BOLABY4319" "Satyrium w-album" 53 0.929824561403509
"1133" "Gillmeria ochrodactyla" "NeedsManualSelection" NA "Välj ett av 2 matchande taxa; Art: Gillmeria ochrodactyla (Denis & Schiffermüller, 1775) [215266]; Art: Gillmeria tetradactyla (Linnaeus, 1758), renfanefjädermott [249045]" "" "" "" "Pterophoridae_cluster9" "Gillmeria ochrodactyla" "BOLAAF5505" "Gillmeria ochrodactyla" 15 0.789473684210526
"1151" "Mompha decorella" "NoMatch" NA "" "" "" "" "Momphidae_cluster5" "Mompha decorella" "BOLAAG0791" "Mompha divisella" 12 0.923076923076923
"1211" "Fomoria weaveri" "NoMatch" NA "" "" "" "" "Nepticulidae_cluster1" "Fomoria weaveri" "BOLAAF6478" "Fomoria weaveri" 36 1
"1215" "Stigmella nylandriella" "NeedsManualSelection" NA "Välj ett av 2 matchande taxa; Art: Stigmella nylandriella (Tengström, 1848), mörk rönndvärgmal [213819]; Art: Stigmella magdalenae (Klimesch, 1950), ljus rönndvärgmal [213818]" "" "" "" "Nepticulidae_cluster5" "Stigmella nylandriella" "BOLAAF3425" "Stigmella nylandriella" 12 0.923076923076923
"1233" "Zimmermannia atrifrontella" "NoMatch" NA "" "" "" "" "Nepticulidae_cluster26" "Zimmermannia atrifrontella" "BOLABW6509" "Zimmermannia atrifrontella" 11 1
"1250" "Fomoria septembrella" "NoMatch" NA "" "" "" "" "Nepticulidae_cluster46" "Fomoria septembrella" "BOLAAL9680" "Fomoria septembrella" 33 1
"1259" "Zimmermannia amani" "NoMatch" NA "" "" "" "" "Nepticulidae_cluster57" "Zimmermannia amani" "BOLAAI9360" "Zimmermannia amani" 13 1
"1268" "Etainia albibimaculella" "NoMatch" NA "" "" "" "" "Nepticulidae_cluster71" "Etainia albibimaculella" "BOLAAF6394" "Etainia albibimaculella" 4 1
"1271" "Etainia sericopeza" "NoMatch" NA "" "" "" "" "Nepticulidae_cluster76" "Etainia sericopeza" "BOLAAC4337" "Etainia sericopeza" 51 1
"1275" "Drepanidae_Achlya flavicornis" "NoMatch" NA "" "" "" "" "Drepanidae_cluster4" "Drepanidae_Achlya flavicornis" "BOLAAD6559" "Achlya flavicornis" 21 1
"1296" "Pseudoips prasinana" "NoMatch" NA "" "" "" "" "Nolidae_cluster8" "Pseudoips prasinana" "BOLAAB8807" "Pseudoips prasinana" 60 0.952380952380952
"1299" "Batrachedra confusella" "NoMatch" NA "" "" "" "" "Batrachedridae_cluster3" "Batrachedra confusella" "BOLAAF0077" "Batrachedra confusella" 43 0.811320754716981
"1325" "Dioryctria mutatella" "NoMatch" NA "" "" "" "" "Pyralidae_cluster9" "Dioryctria mutatella" "BOLAAB6958" "Dioryctria simplicella" 28 0.777777777777778
"1335" "Plodia interpunctella" "Exact" 215373 "Plodia interpunctella" "(Hübner, 1813)" "Tinea interpunctella Hübner, 1813; fikonmott" "Tillfällig förekomst (alt. kvarstående)" "Pyralidae_cluster21" "Plodia interpunctella" "BOLAAB2462" "Plodia interpunctella" 77 0.855555555555556
"1350" "Dyseriocrania subpurpurella" "NeedsManualSelection" NA "Välj ett av 2 matchande taxa; Art: Dyseriocrania subpurpurella (Haworth, 1828) [213783]; Art: Dyseriocrania subpurpurella (Haworth, 1828), ekpurpurmal [232924]" "" "" "" "Eriocraniidae_cluster2" "Dyseriocrania subpurpurella" "BOLAAB3765" "Dyseriocrania subpurpurella" 25 0.675675675675676
"1377" "Epermenia chaerophyllellus" "NoMatch" NA "" "" "" "" "Epermeniidae_cluster1" "Epermenia chaerophyllellus" "BOLAAC9729" "Epermenia chaerophyllella" 36 1
"1390" "Prays curtisella" "NoMatch" NA "" "" "" "" "Praydidae_cluster1" "unresolved.Prays" "unresolved.Prays" "" 0 0
"1392" "Bedellia somnulentella" "Exact" 214225 "Bedellia somnulentella" "(Zeller, 1847)" "Lyonetia somnulentella Zeller, 1847" "Påträffad, okänt om reproducerande" "Bedelliidae_cluster1" "Bedellia somnulentella" "BOLAAI7774" "Bedellia somnulentella" 54 0.771428571428571
