"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin"
"3080" "Noctuidae_cluster55" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Hyppa" "unclassified.Hyppa" "unclassified.Hyppa"
"3091" "Tortricidae_cluster83" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Argyrotaenia" "Argyrotaenia_X" "BOLAAA2955"
"3100" "Gracillariidae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter junoniella" "BOLADD9962"
"3109" "Gelechiidae_cluster27" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Gelechia" "Gelechia scotinella" "BOLACQ9801"
"3110" "Micropterigidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Micropterigidae" "Micropterix" "Micropterix aureatella" "BOLAAE7973"
"3111" "Momphidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Momphidae" "Mompha" "Mompha langiella" "BOLAAF0121"
"3119" "Noctuidae_cluster56" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Xanthia" "Xanthia_X" "BOLAAC9311"
"3120" "Gelechiidae_cluster28" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Gelechia" "Gelechia sororculella" "BOLAAC8633"
"3130" "Gelechiidae_cluster29" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Aroga" "Aroga velocella" "BOLAAC7813"
"3131" "Tineidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tineidae" "Montescardia" "Montescardia tessulatellus" "BOLAAM0695"
"3132" "Gelechiidae_cluster30" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Caryocolum" "Caryocolum junctella" "BOLAAQ1185"
"3134" "Noctuidae_cluster57" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Mythimna" "Mythimna conigera" "BOLAAC6915"
"3150" "Yponomeutidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Yponomeuta" "Yponomeuta_X" "BOLAAA7740"
"3152" "Yponomeutidae_cluster6" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Paraswammerdamia" "Paraswammerdamia lutarea" "BOLAAD6975"
"3153" "Geometridae_cluster63" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Idaea" "Idaea dimidiata" "BOLAAA4213"
"3165" "Noctuidae_cluster58" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Trachea" "Trachea atriplicis" "BOLAAE0836"
"3180" "Gracillariidae_cluster10" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter junoniella" "BOLAAD4754"
"3181" "Noctuidae_cluster59" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Cerastis" "Cerastis rubricosa" "BOLAAD2637"
"3204" "Adelidae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Adelidae" "Nematopogon" "Nematopogon pilella" "BOLAAC5324"
"3215" "Crambidae_cluster19" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Agriphila" "Agriphila_X" "BOLAAE6817"
"3230" "Tortricidae_cluster84" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Cochylis" "Cochylis_X" "BOLAAC3780"
"3253" "Geometridae_cluster64" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Epirrhoe" "Epirrhoe alternata" "BOLACE4142"
"3260" "Glyphipterigidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Glyphipterigidae" "Glyphipterix" "Glyphipterix forsterella" "BOLAAD7071"
"3265" "Gracillariidae_cluster11" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Caloptilia" "Caloptilia betulicola" "BOLAAE3420"
"3271" "Gracillariidae_cluster12" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter stettinensis" "BOLAAF6537"
"3273" "Bucculatricidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Bucculatricidae" "Bucculatrix" "Bucculatrix cristatella" "BOLACO8532"
"3278" "Crambidae_cluster20" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Chilo" "Chilo phragmitella" "BOLAAC4987"
"3284" "Geometridae_cluster65" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Hydriomena" "Hydriomena impluviata" "unresolved.Hydriomena impluviata"
"3329" "Tortricidae_cluster85" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Bactra" "Bactra suedana" "BOLAAP8289"
"3339" "Elachistidae_cluster17" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "unresolved.Elachista" "unresolved.Elachista"
"3358" "Erebidae_cluster20" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Erebidae" "Phytometra" "Phytometra viridaria" "BOLAAD4078"
"3361" "Noctuidae_cluster60" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Lacanobia" "unresolved.Lacanobia" "unresolved.Lacanobia"
"3362" "Elachistidae_cluster18" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "Elachista apicipunctella" "BOLAAE0019"
"3365" "Crambidae_cluster21" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Crambus" "Crambus pascuella" "BOLACF1131"
"3383" "Geometridae_cluster66" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Electrophaes" "Electrophaes corylata" "BOLAAC3785"
"3386" "Tortricidae_cluster86" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Cnephasia" "Cnephasia_X" "BOLAAC7742"
"3389" "Gracillariidae_cluster13" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter sorbi" "BOLAAD5535"
"3390" "Tortricidae_cluster87" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Choristoneura" "Choristoneura hebenstreitella" "BOLAAF3651"
"3408" "Gelechiidae_cluster31" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Carpatolechia" "Carpatolechia fugitivella" "BOLAAA7652"
"3416" "Noctuidae_cluster61" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Xylena" "Xylena solidaginis" "BOLABZ6599"
"3419" "Nolidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nolidae" "Nola" "Nola aerugula" "BOLAAF3258"
"3436" "Geometridae_cluster67" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Epirrita" "Epirrita dilutata" "BOLABZ1400"
"3439" "Tortricidae_cluster88" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Dichrorampha" "Dichrorampha vancouverana" "BOLAAC1223"
"3446" "Gracillariidae_cluster14" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter rajella" "BOLAAE4723"
"3452" "Noctuidae_cluster62" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Agrochola" "Agrochola litura" "BOLAAC8167"
"3456" "Nymphalidae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Erebia" "Erebia ligea" "BOLAAA8264"
"3479" "Gracillariidae_cluster15" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter maestingella" "BOLAAH8496"
"3480" "Coleophoridae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora peribenanderi" "BOLAAD1328"
"3501" "Elachistidae_cluster19" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "Elachista pullicomella" "BOLAAD8137"
"3502" "Crambidae_cluster22" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Eudonia" "Eudonia murana" "BOLAAB9086"
"3509" "Notodontidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Notodontidae" "Notodonta" "Notodonta ziczac" "BOLABY9866"
"3511" "Gracillariidae_cluster16" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Caloptilia" "Caloptilia suberinella" "BOLAAF8460"
"3518" "Gracillariidae_cluster17" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Parornix" "Parornix scoticella" "BOLAAL3871"
"3520" "Tortricidae_cluster89" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Grapholita" "Grapholita jungiella" "BOLAAD6989"
"3552" "Gelechiidae_cluster32" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Oxypteryx" "Oxypteryx atrella" "BOLAAD5702"
"3555" "Noctuidae_cluster63" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Acronicta" "Acronicta aceris" "BOLAAC1168"
"3591" "Noctuidae_cluster64" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Amphipyra" "Amphipyra pyramidea" "BOLAAB4107"
"3599" "Yponomeutidae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Zelleria" "Zelleria hepariella" "BOLAAF6476"
"3615" "Tortricidae_cluster90" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epinotia" "Epinotia subocellana" "BOLAAB8745"
"3621" "Tortricidae_cluster91" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Aethes" "Aethes deutschiana" "BOLAAB4420"
"3625" "Gelechiidae_cluster33" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Xystophora" "Xystophora pulveratella" "BOLAAE4677"
"3630" "Geometridae_cluster69" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Cosmorhoe" "Cosmorhoe ocellata" "BOLAAB4250"
"3653" "Tortricidae_cluster92" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Philedonides" "Philedonides lunana" "unclassified.Philedonides lunana"
"3659" "Geometridae_cluster68" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Eupithecia" "Eupithecia indigata" "BOLAAD4847"
"3661" "Geometridae_cluster70" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Colostygia" "Colostygia pectinataria" "BOLAAB4885"
"3672" "Tortricidae_cluster93" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Agapeta" "Agapeta zoegana" "BOLAAA6573"
"3676" "Noctuidae_cluster65" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Papestra" "Papestra_X" "BOLAAA9849"
"3694" "Argyresthiidae_cluster6" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Argyresthiidae" "Argyresthia" "Argyresthia brockeella" "BOLAAD2486"
"3695" "Tortricidae_cluster94" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Olethreutes" "Olethreutes_X" "BOLAAF7094"
"3714" "Geometridae_cluster71" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Agriopis" "Agriopis marginaria" "BOLAAC0355"
"3717" "Tortricidae_cluster95" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Acleris" "Acleris lipsiana" "BOLAAD6818"
"3718" "Gelechiidae_cluster34" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Brachmia" "Brachmia inornatella" "BOLAAI8301"
"3721" "Gracillariidae_cluster18" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Caloptilia" "Caloptilia robustella" "BOLAAD2587"
"3722" "Nolidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nolidae" "Nola" "Nola cucullatella" "BOLAAC2943"
"3723" "Tortricidae_cluster96" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Grapholita" "Grapholita fissana" "BOLABX9106"
"3725" "Erebidae_cluster21" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Erebidae" "Euclidia" "Euclidia glyphica" "BOLAAD0810"
"3729" "Gracillariidae_cluster19" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "Phyllonorycter schreberella" "BOLAAH8428"
"3739" "Gracillariidae_cluster20" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Calybites" "Calybites phasianipennella" "BOLAAD6298"
"3759" "Geometridae_cluster72" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Erannis" "Erannis defoliaria" "BOLAAB4418"
"3766" "Geometridae_cluster73" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Idaea" "Idaea_X" "BOLAAA9359"
"3778" "Coleophoridae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora versurella" "BOLAAB3186"
"3783" "Oecophoridae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Oecophoridae" "Denisia" "Denisia similella" "BOLAAE3459"
"3786" "Tortricidae_cluster97" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epinotia" "Epinotia immundana" "BOLAAC9103"
"3796" "Gelechiidae_cluster35" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Monochroa" "Monochroa lutulentella" "BOLAAE4780"
"3803" "Nymphalidae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Aphantopus" "Aphantopus hyperantus" "BOLACF2774"
"3810" "Tortricidae_cluster98" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Cydia" "Cydia pactolana" "BOLAAD5860"
"3811" "Tortricidae_cluster99" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Acleris" "Acleris variegana" "BOLACE3007"
"3813" "Crambidae_cluster23" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Catoptria" "Catoptria maculalis" "BOLAAE3791"
"3818" "Psychidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Taleporia" "Taleporia politella" "BOLAAC2838"
"3843" "Gracillariidae_cluster21" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Callisto" "Callisto_X" "BOLAAE0738"
"3845" "Psychidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Narycia" "Diplodoma laichartingella" "BOLAAF5091"
"3852" "Gelechiidae_cluster36" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Chionodes" "Chionodes nubilella" "BOLACF2229"
"3856" "Tortricidae_cluster100" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Ancylis" "Ancylis diminutana" "BOLAAB6876"
"3890" "Tortricidae_cluster101" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Phtheochroa" "Phtheochroa inopiana" "BOLABZ3448"
"3901" "Hesperiidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Hesperiidae" "Thymelicus" "Thymelicus lineola" "BOLAAA6760"
"3913" "Nepticulidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Ectoedemia" "Ectoedemia albifasciella" "unresolved.Ectoedemia albifasciella"
"3915" "Noctuidae_cluster66" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Apamea" "Apamea sordens" "BOLAAA4201"
"3958" "Lasiocampidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lasiocampidae" "Euthrix" "Euthrix potatoria" "BOLAAC1584"
"3968" "Geometridae_cluster74" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Eupithecia" "Eupithecia subfuscata" "BOLABY4251"
"3994" "Coleophoridae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora plumbella" "BOLAAB8607"
"3999" "Yponomeutidae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Cedestis" "Cedestis subfasciella" "BOLAAE9370"
"4000" "Geometridae_cluster75" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Alcis" "Alcis repandata" "BOLAAA8484"
"4002" "Elachistidae_cluster20" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Agonopterix" "unresolved.Agonopterix" "unresolved.Agonopterix"
"4012" "Coleophoridae_cluster10" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora lusciniaepennella" "BOLAAY9622"
"4029" "Tortricidae_cluster102" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Ancylis" "Ancylis obtusana" "BOLAAE1260"
"4030" "Plutellidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Plutellidae" "Ypsolophus" "Ypsolophus_X" "BOLAAE4530"
"4035" "Tortricidae_cluster103" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Grapholita" "Grapholita compositella" "BOLAAE3696"
"4044" "Gelechiidae_cluster37" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Chionodes" "Chionodes lugubrella" "BOLAAB8866"
"4050" "Noctuidae_cluster67" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Diachrysia" "Diachrysia chrysitis" "BOLAAA6511"
"4056" "Gelechiidae_cluster38" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Oxypteryx" "Oxypteryx unicolorella" "BOLAAD1198"
"4068" "Tortricidae_cluster104" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Rhyacionia" "Rhyacionia_X" "BOLAAF7906"
"4072" "Geometridae_cluster76" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Cabera" "Cabera exanthemata" "BOLAAA6653"
"4073" "Gelechiidae_cluster39" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Caryocolum" "Caryocolum pullatella" "BOLAAC1599"
"4074" "Gracillariidae_cluster22" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Parornix" "Parornix finitimella" "BOLAAD1353"
"4092" "Crambidae_cluster24" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Agriphila" "Agriphila biarmicus" "BOLAAJ1509"
"4099" "Coleophoridae_cluster11" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora sternipennella" "BOLAAE9649"
"4100" "Coleophoridae_cluster12" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora_X" "BOLAAE1262"
"4125" "Geometridae_cluster77" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Xanthorhoe" "Xanthorhoe spadicearia" "BOLAAB7980"
"4143" "Geometridae_cluster78" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Eulithis" "Eulithis prunata" "BOLAAC1579"
"4146" "Geometridae_cluster79" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Thera" "Thera juniperata" "BOLAAA3914"
"4150" "Nymphalidae_cluster10" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Nymphalis" "Nymphalis antiopa" "BOLAAA7166"
"4164" "Incurvariidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Incurvaria" "Incurvaria masculella" "BOLAAD1335"
"4167" "Noctuidae_cluster68" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Panolis" "Panolis flammea" "BOLAAC5406"
"4181" "Tortricidae_cluster105" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Cydia" "Cydia duplicana" "BOLAAF7700"
"4216" "Gelechiidae_cluster40" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Chionodes" "Chionodes viduella" "BOLACF2998"
"4218" "Coleophoridae_cluster13" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora flavipennella" "BOLAAC3993"
"4229" "Tortricidae_cluster106" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epiblema" "Epiblema foenella" "BOLAAD3356"
"4269" "Elachistidae_cluster21" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "Elachista utonella" "BOLAAE0031"
"4282" "Geometridae_cluster80" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Chiasmia" "Chiasmia clathrata" "BOLAAB0547"
"4293" "Oecophoridae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Oecophoridae" "Denisia" "Denisia obscurella" "BOLAAI9703"
"4302" "Tortricidae_cluster107" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Stictea" "Stictea mygindiana" "BOLAAF6742"
"4306" "Geometridae_cluster81" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Eupithecia" "Eupithecia icterata" "BOLAAB6528"
"4309" "Gelechiidae_cluster41" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Monochroa" "Monochroa tenebrella" "BOLAAG1078"
"4322" "Erebidae_cluster22" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Erebidae" "Lygephila" "Lygephila pastinum" "BOLAAC8970"
"4324" "Noctuidae_cluster69" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Cosmia" "Cosmia trapezina" "BOLAAB9038"
"4333" "Tortricidae_cluster108" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Syricoris" "Syricoris_X" "BOLAAF3174"
"4338" "Noctuidae_cluster70" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Hoplodrina" "Hoplodrina octogenaria" "BOLAAB4763"
"4354" "Gelechiidae_cluster42" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Teleiopsis" "Teleiopsis_X" "BOLACE6105"
"4365" "Geometridae_cluster82" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Biston" "Biston strataria" "BOLAAB4693"
"4366" "Oecophoridae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Oecophoridae" "Luquetia" "Luquetia lobella" "BOLAAJ2124"
"4368" "Geometridae_cluster83" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Macaria" "Macaria signaria" "BOLAAA1255"
"4402" "Gelechiidae_cluster43" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Argolamprotes" "Argolamprotes micella" "BOLAAD2506"
"4411" "Tortricidae_cluster109" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Dichelia" "Dichelia histrionana" "BOLACF5563"
"4416" "Tortricidae_cluster110" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epinotia" "Epinotia brunnichana" "BOLAAE1743"
"4444" "Gracillariidae_cluster23" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Parornix" "Parornix anglicella" "unresolved.Parornix anglicella"
"4458" "Tortricidae_cluster111" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Dichrorampha" "Dichrorampha petiverella" "BOLAAC9827"
"4459" "Coleophoridae_cluster14" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora caespititiella" "BOLAAE8821"
"4462" "Ypsolophidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Ypsolophidae" "Ypsolopha" "Ypsolopha mucronella" "BOLAAJ9555"
"4465" "Gelechiidae_cluster44" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Gelechia" "Gelechia muscosella" "BOLAAC8632"
"4467" "Geometridae_cluster84" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Idaea" "Idaea serpentata" "BOLAAA9647"
"4472" "Tortricidae_cluster112" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Notocelia" "Notocelia trimaculana" "BOLAAC1136"
"4476" "Coleophoridae_cluster15" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora lutipennella" "BOLAAD1695"
"4483" "Tortricidae_cluster113" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Pammene" "Pammene splendidulana" "BOLACS5540"
"4510" "Tortricidae_cluster114" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Ancylis" "Ancylis comptana" "BOLADI5033"
"4513" "Gelechiidae_cluster45" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Anacampsis" "Anacampsis temerella" "BOLAAE5852"
"4514" "Gelechiidae_cluster46" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Athrips" "Athrips pruinosella" "BOLAAD2577"
"4531" "Crambidae_cluster25" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Eudonia" "Eudonia truncicolella" "BOLAAC1694"
"4532" "Tortricidae_cluster115" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Metendothenia" "Metendothenia atropunctana" "BOLABZ7645"
"4539" "Incurvariidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Lampronia" "Lampronia_X" "BOLAAD1334"
"4543" "Gelechiidae_cluster47" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Caryocolum" "Caryocolum blandella" "BOLAAI6556"
"4544" "Yponomeutidae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Pseudoswammerdamia" "Pseudoswammerdamia combinella" "BOLAAV8336"
"4550" "Nymphalidae_cluster11" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Maniola" "Maniola jurtina" "BOLAAA7785"
"4580" "Erebidae_cluster23" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Erebidae" "Eilema" "Eilema complana" "BOLAAB6846"
"4594" "Oecophoridae_cluster10" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Oecophoridae" "Denisia" "Denisia stipella" "BOLAAD6108"
"4599" "Geometridae_cluster85" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Anticollix" "Anticollix sparsata" "BOLAAC8298"
