CLUSTER_ID;STATUS;Provided string;Matching status;Taxon id;Scientific name;Author;Scientific synonyms;Swedish occurrence
Noctuidae_cluster129;assigned;Apamea anceps;Exact;216100;Apamea anceps;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Noctuidae_cluster23;assigned;Apamea crenata;Exact;216089;Apamea crenata;(Hufnagel, 1766);allmänt ängsfly;Bofast och reproducerande
Noctuidae_cluster87;assigned;Apamea epomidion;Exact;100324;Apamea epomidion;(Haworth, 1809);leverfärgat ängsfly;Bofast och reproducerande
Noctuidae_cluster104;assigned;Apamea furva;Exact;216092;Apamea furva;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Noctuidae_cluster48;assigned;Apamea illyria;Exact;216099;Apamea illyria;(Freyer, 1846);illyriskt ängsfly;Bofast och reproducerande
Noctuidae_cluster102;assigned;Apamea lateritia;Exact;216091;Apamea lateritia;(Hufnagel, 1766);;Bofast och reproducerande
Noctuidae_cluster25;assigned;Apamea lithoxylaea;Exact;216087;Apamea lithoxylaea;(Denis & Schiffermüller, 1775);träfärgat ängsfly;Bofast och reproducerande
Noctuidae_cluster13;assigned;Apamea monoglypha;Exact;216086;Apamea monoglypha;(Hufnagel, 1766);"Phalaena monoglypha Hufnagel, 1766; stort ängsfly";Bofast och reproducerande
Noctuidae_cluster42;assigned;Apamea remissa;Exact;216097;Apamea remissa;(Hübner, 1809);föränderligt ängsfly;Bofast och reproducerande
Noctuidae_cluster95;;;Manual;;Apamea rubrirena;Treitschke, 1825;rödtofsat ängsfly;Bofast och reproducerande
Noctuidae_cluster134;;;Manual;;Apamea scolopacina;(Esper, 1788);gulhalsat ängsfly;Bofast och reproducerande
Noctuidae_cluster66;assigned;Apamea sordens;Exact;216101;Apamea sordens;(Hufnagel, 1766);Phalaena sordens Hufnagel, 1766;Bofast och reproducerande
Noctuidae_cluster33;assigned;Apamea unanimis;Exact;216098;Apamea unanimis;(Hübner, 1809);;Bofast och reproducerande
Nymphalidae_cluster21;assigned;Apatura iris;Exact;100328;Apatura iris;(Linnaeus, 1758);"Papilio iris Linnaeus, 1758; stor skimmerfjäril";Bofast och reproducerande
Nymphalidae_cluster31;assigned;Aphantopus hyperantus;Exact;201107;Aphantopus hyperantus;(Linnaeus, 1758);Papilio hyperantus Linnaeus, 1758;Bofast och reproducerande
Nymphalidae_cluster9;assigned;Aphantopus hyperantus;Exact;201107;Aphantopus hyperantus;(Linnaeus, 1758);Papilio hyperantus Linnaeus, 1758;Bofast och reproducerande
Pyralidae_cluster3;assigned;Aphomia sociella;Exact;215303;Aphomia sociella;(Linnaeus, 1758);;Bofast och reproducerande
Geometridae_cluster198;assigned;Aplocera plagiata;Exact;215851;Aplocera plagiata;(Linnaeus, 1758);allmän taggmätare;Bofast och reproducerande
Geometridae_cluster132;assigned;Apocheima hispidaria;Exact;215583;Apocheima hispidaria;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Gelechiidae_cluster53;assigned;Apodia martinii;Manual;;Apodia bifractella;(Duponchel, 1842);krisslekorgmal;Bofast och reproducerande
Tortricidae_cluster21;_X;Apotomis infida;Exact;214988;Apotomis infida;(Heinrich, 1926);;Bofast och reproducerande
Tortricidae_cluster21;;;Manual;;Apotomis inundana;(Denis & Schiffermüller, 1775);aspknoppvecklare;Bofast och reproducerande
Gelechiidae_cluster52;assigned;Aproaerema anthyllidella;Exact;214766;Aproaerema anthyllidellum;(Hübner, 1813);"getväpplingpalpmal; Aproaerema anthyllidella (Hübner, 1813)";Bofast och reproducerande
Gelechiidae_cluster90;assigned;Aproaerema anthyllidella;Exact;214766;Aproaerema anthyllidellum;(Hübner, 1813);"getväpplingpalpmal; Aproaerema anthyllidella (Hübner, 1813)";Bofast och reproducerande
Geometridae_cluster95;assigned;Archiearis parthenias;Exact;215541;Archiearis parthenias;(Linnaeus, 1761);;Bofast och reproducerande
Tineidae_cluster16;assigned;Archinemapogon yildizae;Exact;213953;Archinemapogon yildizae;Koçak, 1981;"Tinea laterella Thunberg, 1794; Tinea aruatella Stainton, 1854; Archinemapogon laterella (Thunberg, 1794)";Bofast och reproducerande
unclassified.Lepidoptera_cluster15;;;Manual;;Archips betulanus;(Hübner, 1787);porssommarvecklare;Bofast och reproducerande
Tortricidae_cluster165;assigned;Archips oporana;Exact;214937;Archips oporanus;(Linnaeus, 1758);Archips oporana (Linnaeus, 1758);Bofast och reproducerande
Tortricidae_cluster34;assigned;Archips podana;Exact;214939;Archips podanus;(Scopoli, 1763);"fruktträdsommarvecklare; Archips podana (Scopoli, 1763); skarpspetsad fruktbladvecklare; Phalaena podana Scopoli, 1763";Bofast och reproducerande
Tortricidae_cluster74;;;Manual;;Archips rosanus;(Linnaeus, 1758);häcksommarvecklare;Bofast och reproducerande
Tortricidae_cluster33;assigned;Archips xylosteana;Exact;214941;Archips xylosteanus;(Linnaeus, 1758);Archips xylosteana (Linnaeus, 1758);Bofast och reproducerande
Erebidae_cluster39;assigned;Arctia caja;Exact;201273;Arctia caja;(Linnaeus, 1758);"Phalaena (Bombyx) caja Linnaeus, 1758; björnspinnare";Bofast och reproducerande
Gelechiidae_cluster43;assigned;Argolamprotes micella;Exact;214617;Argolamprotes micella;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Nymphalidae_cluster16;assigned;Argynnis paphia;Exact;201065;Argynnis paphia;(Linnaeus, 1758);Papilio paphia Linnaeus, 1758;Bofast och reproducerande
Argyresthiidae_cluster14;assigned;Argyresthia abdominalis;Exact;214163;Argyresthia abdominalis;Zeller, 1839;linjerad enbarrmal;Bofast och reproducerande
Argyresthiidae_cluster7;assigned;Argyresthia albistria;Exact;214181;Argyresthia albistria;(Haworth, 1828);Erminea albistria Haworth, 1828;Bofast och reproducerande
Argyresthiidae_cluster3;assigned;Argyresthia arceuthina;Exact;214160;Argyresthia arceuthina;Zeller, 1839;"Blastotere arceuthina (Zeller, 1839); enskottsmal";Bofast och reproducerande
Argyresthiidae_cluster8;assigned;Argyresthia aurulentella;Exact;214164;Argyresthia aurulentella;Stainton, 1849;guldenbarrmal;Bofast och reproducerande
Argyresthiidae_cluster19;assigned;Argyresthia bergiella;Exact;214158;Argyresthia bergiella;(Ratzeburg, 1840);"guldgranknoppmal; Blastotere bergiella Ratzeburg, 1840";Bofast och reproducerande
Argyresthiidae_cluster13;assigned;Argyresthia bonnetella;Exact;214180;Argyresthia bonnetella;(Linnaeus, 1758);Phalaena bonnetella Linnaeus, 1758;Bofast och reproducerande
Argyresthiidae_cluster6;assigned;Argyresthia brockeella;Exact;214166;Argyresthia brockeella;(Hübner, 1813);"björkknoppmal; Tinea brockeella Hübner, 1813";Bofast och reproducerande
Argyresthiidae_cluster21;assigned;Argyresthia conjugella;Exact;214176;Argyresthia conjugella;Zeller, 1839;;Bofast och reproducerande
Argyresthiidae_cluster15;assigned;Argyresthia curvella;Exact;214171;Argyresthia curvella;(Linnaeus, 1761);"Phalaena curvella Linnaeus, 1761; Tinea arcella J.C.Fabricius, 1776; Argyresthia arcella (J.C.Fabricius, 1776); äppleknoppmal";Bofast och reproducerande
Argyresthiidae_cluster20;assigned;Argyresthia dilectella;Exact;214162;Argyresthia dilectella;Zeller, 1847;"punkterad enbarrmal; vattrad enbarrmal; Blastotere dilectella (Zeller, 1847)";Bofast och reproducerande
Argyresthiidae_cluster23;assigned;Argyresthia fundella;Exact;214173;Argyresthia fundella;(Fischer von Röslerstamm, 1835);"silvergranbarrmal; Oecophora fundella Fischer von Röslerstamm, 1835";Bofast och reproducerande
Argyresthiidae_cluster16;assigned;Argyresthia glabratella;Exact;214157;Argyresthia glabratella;(Zeller, 1847);"Blastotere glabratella Zeller, 1847; granknoppsmal";Bofast och reproducerande
Argyresthiidae_cluster17;assigned;Argyresthia glaucinella;Exact;214174;Argyresthia glaucinella;Zeller, 1839;;Bofast och reproducerande
Argyresthiidae_cluster1;assigned;Argyresthia goedartella;Exact;214167;Argyresthia goedartella;(Linnaeus, 1758);Phalaena goedartella Linnaeus, 1758;Bofast och reproducerande
Argyresthiidae_cluster25;assigned;Argyresthia goedartella;Exact;214167;Argyresthia goedartella;(Linnaeus, 1758);Phalaena goedartella Linnaeus, 1758;Bofast och reproducerande
Argyresthiidae_cluster27;assigned;Argyresthia goedartella;Exact;214167;Argyresthia goedartella;(Linnaeus, 1758);Phalaena goedartella Linnaeus, 1758;Bofast och reproducerande
Argyresthiidae_cluster18;assigned;Argyresthia ivella;Exact;214165;Argyresthia ivella;(Haworth, 1828);"vildapelknoppmal; Tinea ivella Haworth, 1828";Bofast och reproducerande
Argyresthiidae_cluster10;assigned;Argyresthia praecocella;Exact;214159;Argyresthia praecocella;Zeller, 1839;Blastotere praecocella (Zeller, 1839);Bofast och reproducerande
Argyresthiidae_cluster5;unresolved;Argyresthia pruniella;Exact;214179;Argyresthia pruniella;(Clerck, 1759);"Phalaena pruniella Clerck, 1759; Argyresthia ephippella (Fabricius, 1777)";Bofast och reproducerande
Argyresthiidae_cluster22;assigned;Argyresthia pulchella;Exact;214177;Argyresthia pulchella;Zeller, 1846;;Bofast och reproducerande
Argyresthiidae_cluster2;assigned;Argyresthia pygmaeella;Exact;214168;Argyresthia pygmaeella;(Denis & Schiffermüller, 1775);Tinea pygmaeella Denis & Schiffermuller, 1775;Bofast och reproducerande
Argyresthiidae_cluster24;assigned;Argyresthia retinella;Exact;214172;Argyresthia retinella;Zeller, 1839;björkskottmal;Bofast och reproducerande
Argyresthiidae_cluster26;assigned;Argyresthia retinella;Exact;214172;Argyresthia retinella;Zeller, 1839;björkskottmal;Bofast och reproducerande
Argyresthiidae_cluster4;assigned;Argyresthia retinella;Exact;214172;Argyresthia retinella;Zeller, 1839;björkskottmal;Bofast och reproducerande
Argyresthiidae_cluster11;assigned;Argyresthia semifusca;Exact;214178;Argyresthia semifusca;(Haworth, 1828);"häggskottmal; Erminea semifusca Haworth, 1828; Argyresthia spiniella Zeller, 1839";Bofast och reproducerande
Argyresthiidae_cluster5;unresolved;Argyresthia sorbiella;Exact;214169;Argyresthia sorbiella;(Treitschke, 1833);"Oecophora sorbiella Treitschke, 1833; oxelknoppmal";Bofast och reproducerande
Argyresthiidae_cluster9;assigned;Argyresthia spinosella;Exact;214175;Argyresthia spinosella;Stainton, 1849;"Erminea mendica Haworth, 1828; Argyresthia mendica (Haworth, 1828)";Bofast och reproducerande
Argyresthiidae_cluster12;assigned;Argyresthia svenssoni;Exact;6004752;Argyresthia svenssoni;Bengtsson & Johansson, 2012;;Bofast och reproducerande
Tortricidae_cluster181;;;Manual;;Argyroploce concretana;(Wocke, 1862);smalbandvecklare;Bofast och reproducerande
Tortricidae_cluster197;assigned;Argyroploce lediana;Exact;215036;Argyroploce lediana;(Linnaeus, 1758);;Bofast och reproducerande
Tortricidae_cluster205;;;Manual;;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);rosenbandvecklare;Bofast och reproducerande
Tortricidae_cluster272;;;Manual;;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);rosenbandvecklare;Bofast och reproducerande
Tortricidae_cluster274;;;Manual;;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);rosenbandvecklare;Bofast och reproducerande
Tortricidae_cluster296;;;Manual;;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);rosenbandvecklare;Bofast och reproducerande
Tortricidae_cluster83;;;Manual;;Argyrotaenia ljungiana;(Thunberg, 1797);tallmossebredvecklare;Bofast och reproducerande
Geometridae_cluster101;assigned;Arichanna melanaria;Exact;215602;Arichanna melanaria;(Linnaeus, 1758);;Bofast och reproducerande
Lycaenidae_cluster11;;;Manual;;Aricia artaxerxes;(Fabricius, 1793);midsommarblåvinge;Bofast och reproducerande
Gelechiidae_cluster116;assigned;Aristotelia brizella;Exact;214600;Aristotelia brizella;(Treitschke, 1833);;Bofast och reproducerande
